Title,Organisations,Link,Uploaded On,Opportunity Type,Status,Applied,Application Deadline,Impressions,Eligibility,Category,Region
Hack Synthesis 2.0,University of Engineering and Management Kolkata,https://unstop.com/hackathons/hack-synthesis-20-university-of-engineering-and-management-kolkata-1489501,2025-05-31T00:00:00+05:30,hackathons,open,760,18,57507,"Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline
AI ML Hackathon 2.0,"Parul University (PU), Vadodara",https://unstop.com/hackathons/ai-ml-hackathon-20-parul-university-pu-vadodara-1488475,2025-05-30T00:00:00+05:30,hackathons,open,1025,2,76724,"Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline
GoFr Summer Of Code,GoFr.dev,https://unstop.com/hackathons/gofr-summer-of-code-gofrdev-1488007,2025-05-29T00:00:00+05:30,hackathons,open,1714,3,46188,"Coding Challenge, Workshops, Conference, All","Coding Challenge, Workshops, Conference, All",online
This Is Bizness!,"Institute of Engineering & Management, Kolkata",https://unstop.com/hackathons/this-is-bizness-bengal-e-summit-2025-institute-of-engineering-management-kolkata-1484530,2025-05-24T00:00:00+05:30,hackathons,open,40,31,73244,"Coding Challenge, All","Coding Challenge, All",offline
Biweekly - 1 Coding Challenge,"GL Bajaj Institute Of Technology And Management (GLBITM), Greater Noida",https://unstop.com/hackathons/biweekly-1-coding-challenge-gl-bajaj-institute-of-technology-and-management-glbitm-greater-noida-1485459,2025-05-26T00:00:00+05:30,hackathons,open,1020,24,73597,"Coding Challenge, Hackathon, All","Coding Challenge, Hackathon, All",online
IdEEEas 2K25,"Siddaganga Institute of Technology (SIT), Tumkur",https://unstop.com/hackathons/ideas-2k25-siddaganga-institute-of-technology-sit-tumkur-1484385,2025-05-24T00:00:00+05:30,hackathons,open,10,N/A,55614,"Engineering Students, Undergraduate, Coding Challenge","Engineering Students, Undergraduate, Coding Challenge",offline
Kleos 3.0,Dr. D Y Patil's Ramrao Adik Institute Of Technology,https://unstop.com/hackathons/kleos-30-dr-d-y-patils-ramrao-adik-institute-of-technology-1479318,2025-05-17T23:00:08+05:30,hackathons,open,785,7,28191,"Hackathon, Fresher, Experienced Professionals, Engineering Students, MBA Students, Postgraduate, Undergraduate","Hackathon, Fresher, Experienced Professionals, Engineering Students, MBA Students, Postgraduate, Undergraduate",online
Innovate & Inspire - Season 13,K. Ramakrishnan College of Engineering ,https://unstop.com/hackathons/innovate-inspire-season-13-k-ramakrishnan-college-of-engineering-1483718,2025-05-23T10:11:00+05:30,hackathons,open,617,7,106480,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge",online
Intellify – National Level Hackathon 3.0,"Marwadi University (MU), Gujarat",https://unstop.com/hackathons/intellify-national-level-hackathon-30-marwadi-university-mu-gujarat-1465258,2025-04-17T00:00:00+05:30,hackathons,open,215,14,93397,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Data Science, Entrepreneurship, Fellowships, Data Analytics","Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Data Science, Entrepreneurship, Fellowships, Data Analytics",offline
Web3SSH: Web3 Summer School & Hackathon 2025,"Indian Institute of Information Technology (IIIT), Sri City",https://unstop.com/hackathons/web3ssh-web3-summer-school-hackathon-2025-indian-institute-of-information-technology-iiit-sri-city-1481478,2025-05-19T00:00:00+05:30,hackathons,open,59,3,101538,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Camps, Workshops","Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Camps, Workshops",online
Code For Bharat Season 2 Hackathon,Tech Masters India,https://unstop.com/hackathons/code-for-bharat-season-2-hackathon-tech-masters-india-1480301,2025-05-16T09:00:00+05:30,hackathons,open,2835,3,101550,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Coding Challenge, Fellowships","Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Coding Challenge, Fellowships",offline
Code Cubicle 4.0,Geek Room,https://unstop.com/p/code-cubicle-40-geek-room-1478969,2025-05-14T00:00:00+05:30,hackathons,open,1989,3,108949,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Coding Challenge, Entrepreneurship","Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Coding Challenge, Entrepreneurship",offline
I.D.E.A. Hackathon- Innovation Driven Entrepreneurial Adventure,E3l Solutions Private Limited,https://unstop.com/hackathons/idea-hackathon-innovation-driven-entrepreneurial-adventure-e3l-solution-pvt-ltd-1476255,2025-05-08T00:00:00+05:30,hackathons,open,907,N/A,132645,"Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
Altair PSIM Contest,"FR. C. Rodrigues Institute of Technology (FCRIT), Navi Mumbai",https://unstop.com/hackathons/altair-psim-contest-fr-c-rodrigues-institute-of-technology-fcrit-navi-mumbai-1473836,2025-05-05T20:00:00+05:30,hackathons,open,348,8,115605,"Designing, Case Study, Simulation Game, Engineering Students, MBA Students, Undergraduate, Postgraduate","Designing, Case Study, Simulation Game, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
Ultimate Coding Showdown,ANDi Software Solutions,https://unstop.com/hackathons/ultimate-coding-showdown-andi-software-solutions-1474862,2025-05-06T17:56:40+05:30,hackathons,open,807,19,93968,"Entrepreneurship, Article Writing, Business Plan, Coding Challenge, Designing, Engineering Students, Postgraduate, Undergraduate","Entrepreneurship, Article Writing, Business Plan, Coding Challenge, Designing, Engineering Students, Postgraduate, Undergraduate",online
Hackhub 2.0,VLGE Institute Private Limited,https://unstop.com/hackathons/hackhub-20-vlge-institute-private-limited-1474407,2025-05-04T23:00:00+05:30,hackathons,open,66,4,106138,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Awards, Hackathon, Coding Challenge, Case Study, Panel Discussion","Engineering Students, MBA Students, Undergraduate, Postgraduate, Awards, Hackathon, Coding Challenge, Case Study, Panel Discussion",online
Odoo Hackathon 2025,Odoo,https://unstop.com/hackathons/odoo-hackathon-odoo-1464473,2025-04-14T00:00:00+05:30,N/A,open,11796,24,524577,"All, Coding Challenge, Hackathon","All, Coding Challenge, Hackathon",offline
Hackshastra Hackathon on National Technology Day,MERI College of  Engineering and Technology,https://unstop.com/hackathons/national-technology-day-hackathon-meri-college-of-engineering-and-technology-1448766,2025-04-10T00:00:00+05:30,hackathons,open,924,18,117432,"Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline
LudoHack: Build. Play. Conquer.,Ludotronics,https://unstop.com/hackathons/ludohack-build-play-conquer-ludotronics-1427872,2025-03-13T00:00:00+05:30,hackathons,open,706,4,125181,"Coding Challenge, Designing, All","Coding Challenge, Designing, All",online
ComSoc HackX 2025,"Chandigarh University (CU), Ajitgarh, Punjab",https://unstop.com/hackathons/comsoc-hackx-2025-chandigarh-university-cu-ajitgarh-punjab-1412240,2025-02-26T00:00:00+05:30,hackathons,open,3646,2,2012661,"Hackathon, All, Coding Challenge","Hackathon, All, Coding Challenge",offline
Trilogy Coding Test,"Quantum University, Roorkee",https://unstop.com/hackathons/trilogy-coding-test-quantum-university-roorkee-1500234,2025-06-10T00:00:00+05:30,hackathons,closed,279,N/A,12463,"Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
Hack4Health-The HealthTech Hackathon,"Indraprastha Institute of Information Technology (IIIT), Delhi",https://unstop.com/hackathons/hack4health-the-healthtech-hackathon-indraprastha-institute-of-information-technology-iiit-delhi-1474567,2025-05-06T00:00:00+05:30,hackathons,closed,1669,N/A,90184,"Hackathon, All","Hackathon, All",offline
Webify - IdEEEas 2K25,Siddaganga institute of technology Tumakuru,https://unstop.com/hackathons/webify-ideeeas-2k25-siddaganga-institute-of-technology-tumakuru-1484425,2025-05-24T00:00:00+05:30,hackathons,closed,96,N/A,31071,"Coding Challenge, Engineering Students, Undergraduate","Coding Challenge, Engineering Students, Undergraduate",offline
HackOn With Amazon - Season 5,Amazon,https://unstop.com/hackathons/hackon-with-amazon-season-5-amazon-1473780,2025-05-04T12:27:11+05:30,hackathons,closed,52639,N/A,5009586,"Engineering Students, Undergraduate, Hackathon, Postgraduate, Coding Challenge","Engineering Students, Undergraduate, Hackathon, Postgraduate, Coding Challenge",online
augg.io Augmented Reality Hackathon,AIXR,https://unstop.com/hackathons/augmented-reality-hackathon-los-angeles-aixr-1473338,2025-06-26T14:30:00+05:30,hackathons,closed,121,N/A,41998,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Experienced Professionals, Hackathon, Coding Challenge, Conference","Engineering Students, MBA Students, Undergraduate, Postgraduate, Experienced Professionals, Hackathon, Coding Challenge, Conference",online
VLGE Hackathon 2025,VLGE Institute Private Limited,https://unstop.com/hackathons/vlge-hackathon-2025-vlge-institute-private-limited-1473226,2025-05-02T00:00:00+05:30,hackathons,closed,51,N/A,86398,"Hackathon, Coding Challenge, Designing, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Coding Challenge, Designing, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
Coding And Project Competition,Bucketstudy,https://unstop.com/hackathons/coding-and-project-competition-bucketstudy-1461754,2025-04-10T00:00:00+05:30,hackathons,closed,104,N/A,99890,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge",online
"VulnVanguard: Trust Nothing, Secure Everything","SRM Institute of Science and Technology (SRMIST), Delhi/NCR Campus",https://unstop.com/hackathons/vulnvanguard-trust-nothing-secure-everything-srm-institute-of-science-and-technology-srmist-delhincr-campus-1453887,2025-04-02T00:00:00+05:30,N/A,closed,303,N/A,115711,"Coding Challenge, Case Study, Treasure Hunt, Workshops, Hackathon, All","Coding Challenge, Case Study, Treasure Hunt, Workshops, Hackathon, All",offline
InnoFusion - Season 2,"University of Engineering and Management (UEM), Kolkata",https://unstop.com/hackathons/innofusion-season-2-university-of-engineering-and-management-uem-kolkata-1370928,2025-01-22T00:00:00+05:30,hackathons,closed,3334,N/A,1692630,"Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline
Master you DSA Challenge S1-(Subsequence DP + Stacks & Queues),Algo University,https://unstop.com/hackathons/master-you-dsa-challenge-s1-subsequence-dp-algo-university-1500509,2025-06-10T00:00:00+05:30,hackathons,recent,71,4,5315,"Coding Challenge, Engineering Students, MBA Students, Postgraduate, Undergraduate, Fresher","Coding Challenge, Engineering Students, MBA Students, Postgraduate, Undergraduate, Fresher",online
Frontend Battle (Vibe Coding Competition),Indian Institute of Technology Bhubaneswar,https://unstop.com/hackathons/frontend-battle-vibe-coding-competition-indian-institute-of-technology-bhubaneswar-1500317,2025-06-10T00:00:00+05:30,hackathons,recent,997,7,21669,"All, Coding Challenge","All, Coding Challenge",online
Buildathon,Tutedude,https://unstop.com/hackathons/buildathon-tutedude-1499334,2025-06-07T00:00:00+05:30,hackathons,recent,454,N/A,20169,"All, Hackathon, Entrepreneurship, Presentation, Coding Challenge","All, Hackathon, Entrepreneurship, Presentation, Coding Challenge",online
Trilogy Coding Test,"Quantum University, Roorkee",https://unstop.com/hackathons/trilogy-coding-test-quantum-university-roorkee-1500234,2025-06-10T00:00:00+05:30,hackathons,recent,279,N/A,12463,"Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
Prompt Builder With Gen AI,CertifyO,https://unstop.com/hackathons/prompt-builder-with-gen-ai-certifyo-1500197,2025-06-10T00:00:00+05:30,hackathons,recent,57,3,17680,"Hackathon, Coding Challenge, Case Study, Data Science, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Coding Challenge, Case Study, Data Science, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
Adobe India Hackathon,Adobe,https://unstop.com/hackathons/adobe-india-hackathon-adobe-1483364,2025-05-22T00:00:00+05:30,hackathons,recent,35115,29,921395,"Engineering Students, Postgraduate, Undergraduate, Coding Challenge, Hackathon, Online Quiz, Case Study","Engineering Students, Postgraduate, Undergraduate, Coding Challenge, Hackathon, Online Quiz, Case Study",online
SuPrathon 2025 – National Level Virtual Hackathon,SuPrazo Technologies,https://unstop.com/hackathons/suprathon-2025-national-level-virtual-hackathon-suprazo-technologies-1499788,2025-06-09T00:00:00+05:30,hackathons,recent,61,30,23962,"Hackathon, Coding Challenge, Others, Awards, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Coding Challenge, Others, Awards, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
Ozibook Hackfest June 2025,Ozibook Tech Solutions Private Limited,https://unstop.com/hackathons/ozibook-hackfest-june-2025-ozibook-tech-solutions-private-limited-1499315,2025-06-07T00:00:00+05:30,hackathons,recent,85,11,24712,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon","Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon",online
Burnout- MotoGP Datathon,"Manipal University (MU), Jaipur",https://unstop.com/hackathons/burnout-motogp-datathon-manipal-university-mu-jaipur-1499433,2025-06-08T00:00:00+05:30,hackathons,recent,618,1,27834,"Engineering Students, MBA Students, Postgraduate, Undergraduate, Coding Challenge, Data Analytics, Data Science, College Festival, Hackathon","Engineering Students, MBA Students, Postgraduate, Undergraduate, Coding Challenge, Data Analytics, Data Science, College Festival, Hackathon",online
CodeClash  – The Battle of Logic & Code,Lets Code Community,https://unstop.com/hackathons/coderush-june-2025-the-battle-of-logic-code-lets-code-community-1499088,2025-06-07T00:00:00+05:30,hackathons,recent,2397,16,44680,"Online Quiz, All","Online Quiz, All",online
Code Craft,Galgotias University,https://unstop.com/hackathons/code-craft-galgotias-university-1499079,2025-06-07T00:00:00+05:30,hackathons,recent,615,13,37773,"Coding Challenge, Hackathon, All","Coding Challenge, Hackathon, All",online
Software Development Engineer Hiring Challenge,Ozibook Tech Solutions Private Limited,https://unstop.com/p/software-development-engineer-hiring-challenge-ozibook-tech-solutions-private-limited-1498471,2025-06-05T00:00:00+05:30,hackathons,recent,250,2,25114,"Coding Challenge, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Experienced Professionals","Coding Challenge, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Experienced Professionals",online
“Break to Breakthrough: The Semester Gap Reload Pack”,Codein,https://unstop.com/hackathons/break-to-breakthrough-the-semester-gap-reload-pack-codein-1498340,2025-06-05T00:00:00+05:30,hackathons,recent,14,4,40142,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, Data Science, Debates, Hackathon, Online Quiz","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, Data Science, Debates, Hackathon, Online Quiz",online
ARVR Hackathon,Proptelligence Technologies,https://unstop.com/hackathons/arvr-hackathon-proptelligence-technologies-1498401,2025-06-05T15:17:06+05:30,hackathons,recent,173,4,44554,"Hackathon, All","Hackathon, All",offline
Placement Check Contest,"GL Bajaj Institute Of Technology And Management (GLBITM), Greater Noida",https://unstop.com/hackathons/placement-check-contest-gl-bajaj-institute-of-technology-and-management-glbitm-greater-noida-1496086,2025-06-04T00:00:00+05:30,hackathons,recent,27,3,35992,"Hackathon, Coding Challenge, Engineering Students, Undergraduate, Postgraduate","Hackathon, Coding Challenge, Engineering Students, Undergraduate, Postgraduate",online
Navikshaa Dev Battleground 2,Navikshaa,https://unstop.com/hackathons/navikshaa-dev-battleground-2-navikshaa-1496653,2025-06-04T00:00:00+05:30,hackathons,recent,331,6,43715,"Coding Challenge, Hackathon, All","Coding Challenge, Hackathon, All",online
AGTechathon 1.0 2k25,"A. G. Patil Institute of Technology, Solapur",https://unstop.com/hackathons/agtechathon-10-2k25-a-g-patil-institute-of-technology-solapur-1489400,2025-06-03T12:30:00+05:30,hackathons,recent,118,N/A,32367,"Coding Challenge, Hackathon, Engineering Students, MBA Students, Postgraduate, Undergraduate","Coding Challenge, Hackathon, Engineering Students, MBA Students, Postgraduate, Undergraduate",offline
Indian Debating League Debate Hackathon'25,"Indian Institute of Technology (IIT), Delhi",https://unstop.com/hackathons/idl-debate-hackathon25-iit-delhi-1493094,2025-06-02T00:00:00+05:30,hackathons,recent,509,8,20229,"Engineering Students, MBA Students, Undergraduate, Postgraduate, School Students, Debates, Hackathon, Coding Challenge","Engineering Students, MBA Students, Undergraduate, Postgraduate, School Students, Debates, Hackathon, Coding Challenge",online
Join the 10-Minute Daily Learning Challenge on GuideUs!,GuideUs,https://unstop.com/hackathons/join-the-10-minute-daily-learning-challenge-on-guideus-guideus-1494770,2025-06-03T00:00:00+05:30,hackathons,recent,195,N/A,33054,"Coding Challenge, All","Coding Challenge, All",online
Codein Clash-A National level hackathon,Codein,https://unstop.com/hackathons/codein-clash-codein-1494601,2025-06-03T00:00:00+05:30,hackathons,recent,114,9,47838,"Coding Challenge, Hackathon, Online Quiz, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, Hackathon, Online Quiz, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
Weekly Coding Arena by Codein,Codein,https://unstop.com/hackathons/weekly-coding-arena-by-codein-codein-1492166,2025-06-01T00:00:00+05:30,hackathons,recent,631,4,47033,"Coding Challenge, Awards, Online Quiz, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, Awards, Online Quiz, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
FrontendX,CertifyO,https://unstop.com/hackathons/frontendx-certifyo-1492950,2025-06-02T00:00:00+05:30,hackathons,recent,78,N/A,33713,"Coding Challenge, Hackathon, All","Coding Challenge, Hackathon, All",online
CodeClash 2.0,"Guru Gobind Singh Indraprastha University (GGSIPU), Delhi",https://unstop.com/hackathons/codeclash-20-guru-gobind-singh-indraprastha-university-ggsipu-delhi-1492599,2025-06-01T10:00:20+05:30,hackathons,recent,2431,9,63514,"Hackathon, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline
Hack Synthesis 2.0,University of Engineering and Management Kolkata,https://unstop.com/hackathons/hack-synthesis-20-university-of-engineering-and-management-kolkata-1489501,2025-05-31T00:00:00+05:30,hackathons,recent,760,18,57507,"Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline
AI ML Hackathon 2.0,"Parul University (PU), Vadodara",https://unstop.com/hackathons/ai-ml-hackathon-20-parul-university-pu-vadodara-1488475,2025-05-30T00:00:00+05:30,hackathons,recent,1025,2,76724,"Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline
Ctrl+Alt+Compete Hackathon,"R.V. College of Engineering (RVCE), Bangalore",https://unstop.com/hackathons/ctrlaltcompete-hackathon-rv-college-of-engineering-rvce-bangalore-1487107,2025-05-29T00:00:00+05:30,hackathons,recent,402,N/A,34674,"Awards, Data Science, Data Analytics, Hackathon, Robotics, Engineering Students, Undergraduate","Awards, Data Science, Data Analytics, Hackathon, Robotics, Engineering Students, Undergraduate",online
GoFr Summer Of Code,GoFr.dev,https://unstop.com/hackathons/gofr-summer-of-code-gofrdev-1488007,2025-05-29T00:00:00+05:30,hackathons,recent,1714,3,46189,"Coding Challenge, Workshops, Conference, All","Coding Challenge, Workshops, Conference, All",online
InnovWar Hackathon,"GN Group of Institutes, Greater Noida, Uttar Pradesh",https://unstop.com/hackathons/innovwar-hackathon-gn-group-of-institutes-greater-noida-uttar-pradesh-1487033,2025-05-29T00:00:00+05:30,hackathons,recent,1154,N/A,67848,"Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
Chat JPG,"Institute of Engineering & Management, Kolkata",https://unstop.com/hackathons/chat-jpg-bengal-e-summit-2025-institute-of-engineering-management-kolkata-1484489,2025-05-24T00:00:00+05:30,hackathons,recent,34,N/A,59303,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Designing","Engineering Students, MBA Students, Undergraduate, Postgraduate, Designing",offline
This Is Bizness!,"Institute of Engineering & Management, Kolkata",https://unstop.com/hackathons/this-is-bizness-bengal-e-summit-2025-institute-of-engineering-management-kolkata-1484530,2025-05-24T00:00:00+05:30,hackathons,recent,40,31,73244,"Coding Challenge, All","Coding Challenge, All",offline
